Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
male,41.42,5,married,customer,Materials,Black,5,not defaulted,employed,6,licensed,ByBirth,470,0,+
female,17.83,11,married,customer,Utilities,Black,1,not defaulted,employed,11,unlicensed,ByBirth,0,3000,+
male,23.17,11.125,married,customer,Utilities,Black,0.46,not defaulted,employed,1,unlicensed,ByBirth,100,0,+
male,28.46,0.625,married,customer,Financials,White,0.25,defaulted,unemployed,0,unlicensed,ByBirth,380,2010,-
male,18.17,10.25,married,customer,Energy,Black,1.085,defaulted,unemployed,0,unlicensed,ByBirth,320,13,-
male,20,11.045,married,customer,Energy,White,2,defaulted,unemployed,0,licensed,ByBirth,136,0,-
male,20,0,married,customer,Real Estate,White,0.5,defaulted,unemployed,0,unlicensed,ByBirth,144,0,-
female,20.75,9.54,married,customer,ConsDisc,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,200,1000,-
female,24.5,1.75,unmarried,non customer,Energy,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,132,0,-
male,32.75,2.335,married,customer,Real Estate,Black,5.75,defaulted,unemployed,0,licensed,ByBirth,292,0,-
female,52.17,0,unmarried,non customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,0,0,-
female,48.17,1.335,married,customer,ConsDisc,Other,0.335,defaulted,unemployed,0,unlicensed,ByBirth,0,120,-
female,20.42,10.5,unmarried,non customer,Utilities,Black,0,defaulted,unemployed,0,licensed,ByBirth,154,32,-
male,50.75,0.585,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,145,0,-
male,17.08,0.085,unmarried,non customer,Energy,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,140,722,-
male,18.33,1.21,unmarried,non customer,Education,Other,0,defaulted,unemployed,0,unlicensed,ByBirth,100,0,-
female,32,6,married,customer,Real Estate,White,1.25,defaulted,unemployed,0,unlicensed,ByBirth,272,0,-
male,59.67,1.54,married,customer,Materials,White,0.125,not defaulted,unemployed,0,licensed,ByBirth,260,0,+
male,18,0.165,married,customer,Materials,Other,0.21,defaulted,unemployed,0,unlicensed,ByBirth,200,40,+
male,37.58,0,married,customer,Energy,White,0,defaulted,unemployed,0,unlicensed,Temporary,0,0,+
male,32.33,2.5,married,customer,Energy,White,1.25,defaulted,unemployed,0,licensed,ByBirth,280,0,-
male,18.08,6.75,unmarried,non customer,CommServ,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,140,0,-
male,38.25,10.125,unmarried,non customer,Financials,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,160,0,-
male,30.67,2.5,married,customer,IT,Black,2.25,defaulted,unemployed,0,licensed,ByOtherMeans,340,0,-
male,18.58,5.71,married,customer,Real Estate,White,0.54,defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
female,19.17,5.415,married,customer,ConsDisc,Black,0.29,defaulted,unemployed,0,unlicensed,ByBirth,80,484,-
female,18.17,10,unmarried,non customer,Materials,Black,0.165,defaulted,unemployed,0,unlicensed,ByBirth,340,0,-
male,24.58,13.5,unmarried,non customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,0,0,-
male,16.25,0.835,married,customer,CommServ,White,0.085,not defaulted,unemployed,0,unlicensed,ByOtherMeans,200,0,-
male,21.17,0.875,unmarried,non customer,Energy,Black,0.25,defaulted,unemployed,0,unlicensed,ByBirth,280,204,-
male,23.92,0.585,unmarried,non customer,IT,Black,0.125,defaulted,unemployed,0,unlicensed,ByBirth,240,1,-
male,17.67,4.46,married,customer,Energy,White,0.25,defaulted,unemployed,0,unlicensed,ByOtherMeans,80,0,-
female,16.5,1.25,married,customer,Materials,White,0.25,defaulted,employed,1,unlicensed,ByBirth,108,98,-
male,23.25,12.625,married,customer,Energy,White,0.125,defaulted,employed,2,unlicensed,ByBirth,0,5552,-
male,17.58,10,married,customer,Industrials,Black,0.165,defaulted,employed,1,unlicensed,ByBirth,120,1,-
female,28.46,1.5,married,customer,Healthcare,Latino,0,defaulted,employed,2,licensed,ByBirth,200,105,-
male,29.5,0.58,married,customer,Industrials,White,0.29,defaulted,employed,1,unlicensed,ByBirth,340,2803,-
male,18.83,0.415,unmarried,non customer,Energy,White,0.165,defaulted,employed,1,unlicensed,ByBirth,200,1,-
female,21.75,1.75,unmarried,non customer,Research,Other,0,defaulted,unemployed,0,unlicensed,ByBirth,160,0,-
male,23,0.75,married,customer,CommServ,White,0.5,defaulted,unemployed,0,licensed,ByOtherMeans,320,0,-
female,18.25,10,married,customer,Industrials,White,1,defaulted,employed,1,unlicensed,ByBirth,120,1,-
male,25.42,0.54,married,customer,Industrials,White,0.165,defaulted,employed,1,unlicensed,ByBirth,272,444,-
male,35.75,2.415,married,customer,Industrials,White,0.125,defaulted,employed,2,unlicensed,ByBirth,220,1,-
female,16.08,0.335,married,customer,Healthcare,Latino,0,defaulted,employed,1,unlicensed,ByBirth,160,126,-
female,31.92,3.125,married,customer,Healthcare,Latino,3.04,defaulted,employed,2,licensed,ByBirth,200,4,-
male,69.17,9,married,customer,Healthcare,Latino,4,defaulted,employed,1,unlicensed,ByBirth,70,6,-
male,32.92,2.5,married,customer,ConsStaps,White,1.75,defaulted,employed,2,licensed,ByBirth,720,0,-
male,16.33,2.75,married,customer,ConsStaps,White,0.665,defaulted,employed,1,unlicensed,ByBirth,80,21,-
male,22.17,12.125,married,customer,Energy,White,3.335,defaulted,employed,2,licensed,ByBirth,180,173,-
female,57.58,2,married,customer,Healthcare,Latino,6.5,defaulted,employed,1,unlicensed,ByBirth,0,10,-
male,18.25,0.165,married,customer,Real Estate,White,0.25,defaulted,unemployed,0,licensed,ByOtherMeans,280,0,-
male,23.42,1,married,customer,Energy,White,0.5,defaulted,unemployed,0,licensed,ByOtherMeans,280,0,-
female,15.92,2.875,married,customer,Materials,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
female,24.75,13.665,married,customer,Materials,Black,1.5,defaulted,unemployed,0,unlicensed,ByBirth,280,1,-
male,48.75,26.335,unmarried,non customer,Healthcare,Latino,0,not defaulted,unemployed,0,licensed,ByBirth,0,0,-
male,23.5,2.75,married,customer,Healthcare,Latino,4.5,defaulted,unemployed,0,unlicensed,ByBirth,160,25,-
male,18.58,10.29,married,customer,Healthcare,Latino,0.415,defaulted,unemployed,0,unlicensed,ByBirth,80,0,-
male,27.75,1.29,married,customer,Financials,Black,0.25,defaulted,unemployed,0,licensed,ByOtherMeans,140,0,-
female,31.75,3,unmarried,non customer,Research,Other,0,defaulted,unemployed,0,unlicensed,ByBirth,160,20,-
female,24.83,4.5,married,customer,Industrials,White,1,defaulted,unemployed,0,licensed,ByBirth,360,6,-
male,19,1.75,unmarried,non customer,Energy,White,2.335,defaulted,unemployed,0,licensed,ByBirth,112,6,-
female,16.33,0.21,married,customer,ConsStaps,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,200,1,-
female,18.58,10,married,customer,Real Estate,White,0.415,defaulted,unemployed,0,unlicensed,ByBirth,80,42,-
male,16.25,0,unmarried,non customer,ConsStaps,White,0.25,defaulted,unemployed,0,unlicensed,ByBirth,60,0,-
male,23,0.75,married,customer,CommServ,White,0.5,not defaulted,unemployed,0,licensed,ByOtherMeans,320,0,-
male,21.17,0.25,unmarried,non customer,Energy,Black,0.25,defaulted,unemployed,0,unlicensed,ByBirth,280,204,-
male,17.5,22,unmarried,customer,Healthcare,Other,0,defaulted,unemployed,0,licensed,Temporary,450,100000,+
male,19.17,0,unmarried,non customer,CommServ,Asian,0,defaulted,unemployed,0,licensed,ByOtherMeans,500,1,+
male,36.75,0.125,unmarried,non customer,Energy,White,1.5,defaulted,unemployed,0,licensed,ByBirth,232,113,+
male,21.25,1.5,married,customer,Industrials,White,1.5,defaulted,unemployed,0,unlicensed,ByBirth,150,8,+
female,18.08,0.375,unmarried,customer,IT,Latino,10,defaulted,unemployed,0,licensed,ByOtherMeans,300,0,+
female,33.67,0.375,married,customer,IT,White,0.375,defaulted,unemployed,0,unlicensed,ByBirth,300,44,+
male,48.58,0.205,unmarried,non customer,Financials,White,0.25,not defaulted,employed,11,unlicensed,ByBirth,380,2732,+
male,33.67,1.25,married,customer,Industrials,White,1.165,defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
female,29.5,1.085,unmarried,non customer,Utilities,White,1,defaulted,unemployed,0,unlicensed,ByBirth,280,13,-
male,30.17,1.085,unmarried,non customer,Energy,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,170,179,-
male,40.83,3.5,married,customer,ConsDisc,Asian,0.5,defaulted,unemployed,0,unlicensed,ByOtherMeans,1160,0,-
male,34.83,2.5,unmarried,non customer,Industrials,White,3,defaulted,unemployed,0,unlicensed,ByOtherMeans,200,0,-
male,28.46,4,unmarried,non customer,ConsDisc,White,0.085,defaulted,unemployed,0,licensed,ByBirth,411,0,-
male,20.42,0,married,customer,Energy,White,0,defaulted,unemployed,0,unlicensed,Temporary,0,0,-
female,33.25,2.5,unmarried,non customer,Energy,White,2.5,defaulted,unemployed,0,licensed,ByBirth,0,2,-
male,34.08,2.5,married,customer,Energy,White,1,defaulted,unemployed,0,unlicensed,ByBirth,460,16,-
female,25.25,12.5,married,customer,Real Estate,White,1,defaulted,unemployed,0,licensed,ByBirth,180,1062,-
male,34.75,2.5,married,customer,IT,Asian,0.5,defaulted,unemployed,0,unlicensed,ByBirth,348,0,-
male,27.67,0.75,married,customer,Materials,Black,0.165,defaulted,unemployed,0,licensed,ByBirth,220,251,-
male,47.33,6.5,married,customer,Energy,White,1,defaulted,unemployed,0,licensed,ByBirth,0,228,-
female,34.83,1.25,unmarried,non customer,ConsDisc,Black,0.5,defaulted,unemployed,0,licensed,ByBirth,160,0,-
female,33.25,3,unmarried,non customer,ConsStaps,White,2,defaulted,unemployed,0,unlicensed,ByBirth,180,0,-
male,28,3,married,customer,Industrials,White,0.75,defaulted,unemployed,0,licensed,ByBirth,300,67,-
female,39.08,4,married,customer,Energy,White,3,defaulted,unemployed,0,unlicensed,ByBirth,480,0,-
male,42.75,4.085,married,customer,ConsStaps,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,108,100,-
male,26.92,2.25,married,customer,ConsDisc,Asian,0.5,defaulted,unemployed,0,licensed,ByBirth,640,4000,-
male,33.75,2.75,married,customer,ConsDisc,Asian,0,defaulted,unemployed,0,unlicensed,ByBirth,180,0,-
male,38.92,1.75,married,customer,Financials,White,0.5,defaulted,unemployed,0,licensed,ByBirth,300,2,-
male,62.75,7,married,customer,Education,Other,0,defaulted,unemployed,0,unlicensed,ByBirth,0,12,-
male,32.25,1.5,married,customer,Energy,White,0.25,defaulted,unemployed,0,licensed,ByBirth,372,122,-
male,26.75,4.5,unmarried,non customer,Energy,Asian,2.5,defaulted,unemployed,0,unlicensed,ByBirth,200,1210,-
male,63.33,0.54,married,customer,Energy,White,0.585,not defaulted,employed,3,licensed,ByBirth,180,0,-
male,27.83,1.5,married,customer,Industrials,White,2.25,defaulted,employed,1,licensed,ByBirth,100,3,-
female,26.17,2,married,customer,Research,Other,0,defaulted,unemployed,0,licensed,ByBirth,276,1,-
male,22.17,0.585,unmarried,non customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,100,0,-
male,22.5,11.5,unmarried,non customer,CommServ,White,1.5,defaulted,unemployed,0,licensed,ByBirth,0,4000,-
male,30.75,1.585,married,customer,Real Estate,White,0.585,defaulted,unemployed,0,licensed,ByOtherMeans,0,0,-
male,36.67,2,married,customer,ConsDisc,White,0.25,defaulted,unemployed,0,licensed,ByBirth,221,0,-
female,16,0.165,married,customer,ConsStaps,White,1,defaulted,employed,2,licensed,ByBirth,320,1,-
male,41.17,1.335,married,customer,Real Estate,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,168,0,-
female,19.5,0.165,married,customer,Materials,White,0.04,defaulted,unemployed,0,licensed,ByBirth,380,0,-
male,32.42,3,married,customer,Real Estate,White,0.165,defaulted,unemployed,0,licensed,ByBirth,120,0,-
female,36.75,4.71,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,160,0,-
female,30.25,5.5,married,customer,Financials,White,5.5,defaulted,unemployed,0,licensed,ByOtherMeans,100,0,-
male,23.08,2.5,married,customer,Healthcare,Latino,0.085,defaulted,unemployed,0,licensed,ByBirth,100,4208,-
male,26.83,0.54,married,customer,Financials,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,100,0,-
male,16.92,0.335,unmarried,non customer,Financials,White,0.29,defaulted,unemployed,0,unlicensed,ByOtherMeans,200,0,-
male,24.42,2,married,customer,Education,Other,0.165,defaulted,employed,2,unlicensed,ByBirth,320,1300,-
male,42.83,1.25,married,customer,CommServ,White,13.875,defaulted,employed,1,licensed,ByBirth,352,112,-
female,22.75,6.165,married,customer,ConsStaps,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,220,1000,-
male,39.42,1.71,unmarried,non customer,CommServ,White,0.165,defaulted,unemployed,0,unlicensed,ByOtherMeans,400,0,-
female,23.58,11.5,unmarried,non customer,Financials,Black,3,defaulted,unemployed,0,licensed,ByBirth,20,16,-
male,21.42,0.75,unmarried,non customer,Transport,Other,0.75,defaulted,unemployed,0,licensed,ByBirth,132,2,-
male,33,2.5,unmarried,non customer,Industrials,White,7,defaulted,unemployed,0,licensed,ByBirth,280,0,-
male,26.33,13,married,customer,Education,Other,0,defaulted,unemployed,0,licensed,ByBirth,140,1110,-
female,45,4.585,married,customer,Financials,Black,1,defaulted,unemployed,0,licensed,ByOtherMeans,240,0,-
male,26.25,1.54,married,customer,Industrials,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,100,0,-
male,28.17,0.585,married,customer,ConsStaps,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,260,1004,-
female,20.83,0.5,unmarried,non customer,Education,Other,1,defaulted,unemployed,0,unlicensed,ByBirth,260,0,-
male,28.67,14.5,married,customer,Real Estate,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,0,286,-
male,20.67,0.835,unmarried,non customer,Energy,White,2,defaulted,unemployed,0,licensed,ByOtherMeans,240,0,-
male,34.42,1.335,married,customer,ConsDisc,Asian,0.125,defaulted,unemployed,0,licensed,ByBirth,440,4500,-
male,33.58,0.25,married,customer,ConsDisc,Asian,4,defaulted,unemployed,0,licensed,ByOtherMeans,420,0,-
male,43.17,5,married,customer,ConsDisc,Asian,2.25,defaulted,unemployed,0,licensed,ByBirth,141,0,-
female,22.67,7,married,customer,Energy,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,160,0,-
female,24.33,2.5,unmarried,non customer,ConsDisc,Asian,4.5,defaulted,unemployed,0,unlicensed,ByBirth,200,456,-
female,56.83,4.25,unmarried,non customer,Healthcare,Latino,5,defaulted,unemployed,0,licensed,ByBirth,0,4,-
male,22.08,11.46,married,customer,Financials,White,1.585,defaulted,unemployed,0,licensed,ByBirth,100,1212,-
male,34,5.5,unmarried,non customer,Energy,White,1.5,defaulted,unemployed,0,licensed,ByBirth,60,0,-
male,22.58,1.5,unmarried,non customer,ConsStaps,White,0.54,defaulted,unemployed,0,licensed,ByBirth,120,67,-
male,21.17,0,married,customer,Energy,White,0.5,defaulted,unemployed,0,licensed,ByOtherMeans,0,0,-
male,26.67,14.585,married,customer,ConsDisc,Asian,0,defaulted,unemployed,0,licensed,ByBirth,178,0,-
male,22.92,0.17,married,customer,CommServ,White,0.085,defaulted,unemployed,0,unlicensed,ByOtherMeans,0,0,-
male,15.17,7,married,customer,Education,White,1,defaulted,unemployed,0,unlicensed,ByBirth,600,0,-
male,39.92,5,married,customer,ConsDisc,Asian,0.21,defaulted,unemployed,0,unlicensed,ByBirth,550,0,-
male,27.42,12.5,married,customer,ConsStaps,Asian,0.25,defaulted,unemployed,0,licensed,ByBirth,720,0,-
male,24.75,0.54,married,customer,CommServ,White,1,defaulted,unemployed,0,licensed,ByBirth,120,1,-
male,41.17,1.25,unmarried,non customer,Industrials,White,0.25,defaulted,unemployed,0,unlicensed,ByBirth,0,195,-
female,33.08,1.625,married,customer,Real Estate,White,0.54,defaulted,unemployed,0,licensed,ByBirth,0,0,-
male,29.83,2.04,unmarried,non customer,Utilities,Black,0.04,defaulted,unemployed,0,unlicensed,ByBirth,128,1,-
female,23.58,0.585,unmarried,non customer,Healthcare,Latino,0.125,defaulted,unemployed,0,unlicensed,ByBirth,120,87,-
male,26.17,12.5,unmarried,non customer,Financials,Black,1.25,defaulted,unemployed,0,licensed,ByBirth,0,17,-
male,31,2.085,married,customer,Energy,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,300,0,-
male,20.75,5.085,unmarried,non customer,Research,White,0.29,defaulted,unemployed,0,unlicensed,ByBirth,140,184,-
male,28.92,0.375,married,customer,Energy,White,0.29,defaulted,unemployed,0,unlicensed,ByBirth,220,140,-
female,51.92,6.5,married,customer,ConsDisc,Asian,3.085,defaulted,unemployed,0,licensed,ByBirth,73,0,-
female,22.67,0.335,married,customer,Materials,White,0.75,defaulted,unemployed,0,unlicensed,ByOtherMeans,160,0,-
male,34,5.085,unmarried,non customer,ConsDisc,Asian,1.085,defaulted,unemployed,0,licensed,ByBirth,480,0,-
female,69.5,6,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByOtherMeans,0,0,-
female,40.33,8.125,unmarried,non customer,Financials,White,0.165,defaulted,employed,2,unlicensed,ByBirth,0,18,-
female,19.58,0.665,unmarried,non customer,Energy,White,1,defaulted,employed,1,unlicensed,ByBirth,2000,2,-
male,16,3.125,married,customer,Industrials,White,0.085,defaulted,employed,1,unlicensed,ByBirth,0,6,-
male,17.08,0.25,married,customer,Materials,White,0.335,defaulted,employed,4,unlicensed,ByBirth,160,8,-
male,31.25,2.835,married,customer,Healthcare,Latino,0,defaulted,employed,5,unlicensed,ByBirth,176,146,-
male,25.17,3,married,customer,Energy,White,1.25,defaulted,employed,1,unlicensed,ByBirth,0,22,-
female,22.67,0.79,married,customer,ConsDisc,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,144,0,-
male,40.58,1.5,married,customer,ConsDisc,Asian,0,defaulted,unemployed,0,unlicensed,ByOtherMeans,300,0,-
male,22.25,0.46,married,customer,Financials,White,0.125,defaulted,unemployed,0,licensed,ByBirth,280,55,-
female,22.25,1.25,unmarried,non customer,Healthcare,Latino,3.25,defaulted,unemployed,0,unlicensed,ByBirth,280,0,-
male,22.5,0.125,unmarried,non customer,Financials,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,200,70,-
male,23.58,1.79,married,customer,Energy,White,0.54,defaulted,unemployed,0,licensed,ByBirth,136,1,-
male,38.42,0.705,married,customer,Energy,White,0.375,defaulted,employed,2,unlicensed,ByBirth,225,500,-
female,26.58,2.54,unmarried,non customer,Healthcare,Latino,0,defaulted,unemployed,0,licensed,ByBirth,180,60,-
male,35,2.5,married,customer,ConsDisc,White,1,defaulted,unemployed,0,licensed,ByBirth,210,0,-
male,20.42,1.085,married,customer,Materials,White,1.5,defaulted,unemployed,0,unlicensed,ByBirth,108,7,-
male,29.42,1.25,married,customer,Industrials,White,1.75,defaulted,unemployed,0,unlicensed,ByBirth,200,0,-
male,26.17,0.835,married,customer,IT,White,1.165,defaulted,unemployed,0,unlicensed,ByBirth,100,0,-
male,33.67,2.165,married,customer,Energy,White,1.5,defaulted,unemployed,0,unlicensed,Temporary,120,0,-
male,24.58,1.25,married,customer,Energy,White,0.25,defaulted,unemployed,0,unlicensed,ByBirth,110,0,-
female,27.67,2.04,married,customer,Industrials,White,0.25,defaulted,unemployed,0,licensed,ByBirth,180,50,-
male,37.5,0.835,married,customer,Education,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,120,5,-
male,49.17,2.29,married,customer,Healthcare,Latino,0.29,defaulted,unemployed,0,unlicensed,ByBirth,200,3,-
male,33.58,0.335,unmarried,non customer,IT,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,180,0,-
male,51.83,3,unmarried,non customer,Healthcare,Latino,1.5,defaulted,unemployed,0,unlicensed,ByBirth,180,4,-
male,22.92,3.165,unmarried,non customer,Energy,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,160,1058,-
male,21.83,1.54,married,customer,Financials,White,0.085,defaulted,unemployed,0,licensed,ByBirth,356,0,-
male,25.25,1,married,customer,ConsStaps,White,0.5,defaulted,unemployed,0,unlicensed,ByBirth,200,0,-
male,58.58,2.71,married,customer,Energy,White,2.415,defaulted,unemployed,0,licensed,ByBirth,320,0,-
male,19,0,unmarried,non customer,Healthcare,Latino,0,defaulted,employed,4,unlicensed,ByBirth,45,1,-
male,19.58,0.585,married,customer,Healthcare,Latino,0,defaulted,employed,3,unlicensed,ByBirth,350,769,-
female,53.33,0.165,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,licensed,ByOtherMeans,62,27,-
female,27.17,1.25,married,customer,Healthcare,Latino,0,defaulted,employed,1,unlicensed,ByBirth,92,300,-
male,25.92,0.875,married,customer,Financials,White,0.375,defaulted,employed,2,licensed,ByBirth,174,3,-
male,23.08,0,married,customer,Financials,White,1,defaulted,employed,11,unlicensed,ByOtherMeans,0,0,-
male,39.58,5,married,customer,Healthcare,Latino,0,defaulted,employed,2,unlicensed,ByBirth,17,1,-
male,30.58,2.71,unmarried,non customer,CommServ,White,0.125,defaulted,unemployed,0,licensed,ByOtherMeans,80,0,-
male,17.25,3,married,customer,Financials,White,0.04,defaulted,unemployed,0,licensed,ByBirth,160,40,-
female,17.67,0,unmarried,non customer,Research,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,86,0,-
female,28.46,11.25,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,0,5200,-
male,16.5,0.125,married,customer,Energy,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,132,0,-
female,27.33,1.665,married,customer,Healthcare,Latino,0,defaulted,unemployed,0,unlicensed,ByBirth,340,1,-
male,31.25,1.125,married,customer,Healthcare,Latino,0,defaulted,employed,1,unlicensed,ByBirth,96,19,-
male,20,7,married,customer,Energy,White,0.5,defaulted,unemployed,0,unlicensed,ByBirth,0,0,-
male,28.46,3,unmarried,non customer,ConsDisc,Asian,7,defaulted,unemployed,0,unlicensed,ByBirth,0,1,-
male,39.5,1.625,married,customer,Energy,White,1.5,defaulted,unemployed,0,unlicensed,ByBirth,0,316,-
male,36.5,4.25,married,customer,Materials,White,3.5,defaulted,unemployed,0,unlicensed,ByBirth,454,50,-
male,29.75,0.665,married,customer,Industrials,White,0.25,defaulted,unemployed,0,licensed,ByBirth,300,0,-
male,52.42,1.5,married,customer,Real Estate,White,3.75,defaulted,unemployed,0,licensed,ByBirth,0,350,-
male,36.17,18.125,married,customer,Industrials,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,320,3552,-
male,34.58,0,married,customer,Energy,White,0,defaulted,unemployed,0,unlicensed,Temporary,0,0,-
male,29.67,0.75,unmarried,non customer,Energy,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,240,0,-
male,36.17,5.5,married,customer,ConsDisc,Asian,5,defaulted,unemployed,0,unlicensed,ByBirth,210,687,-
male,25.67,0.29,unmarried,non customer,Energy,White,1.5,defaulted,unemployed,0,licensed,ByBirth,160,0,-
female,24.5,2.415,unmarried,non customer,Energy,White,0,defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
male,24.08,0.875,married,customer,CommServ,White,0.085,defaulted,employed,4,unlicensed,ByBirth,254,1950,-
male,21.92,0.5,married,customer,Energy,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,360,0,-
female,36.58,0.29,married,customer,Healthcare,Latino,0,defaulted,employed,10,unlicensed,ByBirth,200,18,-
female,23,1.835,married,customer,Research,Other,0,defaulted,employed,1,unlicensed,ByBirth,200,53,-
female,27.58,3,married,customer,CommServ,White,2.79,defaulted,employed,1,licensed,ByBirth,280,10,-
male,31.08,3.085,married,customer,Energy,White,2.5,defaulted,employed,2,licensed,ByBirth,160,41,-
female,30.42,1.375,married,customer,Industrials,Black,0.04,defaulted,employed,3,unlicensed,ByBirth,0,33,-
male,22.08,2.335,married,customer,Financials,White,0.75,defaulted,unemployed,0,unlicensed,ByBirth,180,0,-
male,16.33,4.085,married,customer,ConsDisc,Black,0.415,defaulted,unemployed,0,licensed,ByBirth,120,0,-
female,21.92,11.665,married,customer,Financials,Black,0.085,defaulted,unemployed,0,unlicensed,ByBirth,320,5,-
male,21.08,4.125,unmarried,non customer,ConsDisc,Black,0.04,defaulted,unemployed,0,unlicensed,ByBirth,140,100,-
male,17.42,6.5,married,customer,ConsDisc,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,60,100,-
male,19.17,4,unmarried,non customer,ConsDisc,White,1,defaulted,unemployed,0,licensed,ByBirth,360,1000,-
male,20.67,0.415,married,customer,Energy,White,0.125,defaulted,unemployed,0,unlicensed,ByBirth,0,44,-
male,26.75,2,married,customer,Real Estate,White,0.75,defaulted,unemployed,0,licensed,ByBirth,80,0,-
male,23.58,0.835,married,customer,ConsDisc,Black,0.085,defaulted,unemployed,0,licensed,ByBirth,220,5,-
male,39.17,2.5,unmarried,non customer,ConsDisc,Black,10,defaulted,unemployed,0,licensed,ByOtherMeans,200,0,-
male,22.75,11.5,married,customer,ConsDisc,White,0.415,defaulted,unemployed,0,unlicensed,ByBirth,0,0,-
male,26.5,2.71,unmarried,non customer,Energy,White,0.085,defaulted,unemployed,0,unlicensed,ByOtherMeans,80,0,-
female,16.92,0.5,married,customer,ConsDisc,White,0.165,defaulted,employed,6,licensed,ByBirth,240,35,-
male,23.5,3.165,unmarried,non customer,Financials,White,0.415,defaulted,employed,1,licensed,ByBirth,280,80,-
female,17.33,9.5,married,customer,ConsStaps,White,1.75,defaulted,employed,10,licensed,ByBirth,0,10,-
male,23.75,0.415,unmarried,non customer,Energy,White,0.04,defaulted,employed,2,unlicensed,ByBirth,128,6,-
male,34.67,1.08,married,customer,CommServ,White,1.165,defaulted,unemployed,0,unlicensed,ByOtherMeans,28,0,-
male,74.83,19,unmarried,non customer,Healthcare,Latino,0.04,defaulted,employed,2,unlicensed,ByBirth,0,351,-
male,28.17,0.125,unmarried,non customer,Financials,White,0.085,defaulted,unemployed,0,unlicensed,ByBirth,216,2100,-
male,24.5,13.335,unmarried,non customer,ConsStaps,White,0.04,defaulted,unemployed,0,licensed,ByBirth,120,475,-
male,18.83,3.54,unmarried,non customer,Healthcare,Latino,0,defaulted,unemployed,0,licensed,ByBirth,180,1,-
male,45.33,1,married,customer,Materials,White,0.125,defaulted,unemployed,0,licensed,ByBirth,263,0,-
female,47.25,0.75,married,customer,Materials,Black,2.75,not defaulted,employed,1,unlicensed,ByBirth,333,892,+
male,24.17,0.875,married,customer,Materials,White,4.625,not defaulted,employed,2,licensed,ByBirth,520,2000,+
male,39.25,9.5,married,customer,CommServ,White,6.5,not defaulted,employed,14,unlicensed,ByBirth,240,4607,+
female,20.5,11.835,married,customer,Energy,Black,6,not defaulted,unemployed,0,unlicensed,ByBirth,340,0,+
female,18.83,4.415,unmarried,non customer,Energy,Black,3,not defaulted,unemployed,0,unlicensed,ByBirth,240,0,+
male,19.17,9.5,married,customer,Industrials,White,1.5,not defaulted,unemployed,0,unlicensed,ByBirth,120,2206,+
female,25,0.875,married,customer,Utilities,Black,1.04,not defaulted,unemployed,0,licensed,ByBirth,160,5860,+
male,20.17,9.25,married,customer,Energy,White,1.665,not defaulted,employed,3,licensed,ByBirth,40,28,+
male,25.75,0.5,married,customer,Energy,White,1.46,not defaulted,employed,5,licensed,ByBirth,312,0,+
